created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 11 23:16:55 +0000 2024;1756819635205464508;"Mari  kita  kawal dana  Otsus agar  tepat sasaran untuk  membangun masyarakat Papua.  Dana Otsus  digunakan  sebagaimana mestinya dan terhindar dari segala macam bentuk penyelewengan, termasuk dari para koruptor.  #JagaPapua_TolakKSTP Selingkuh Dirty Vote #SUGA Gelora https://t.co/0fTAEMYHsy";1;5;16;17;in;2907040202;1756819635205464508;Anggita_lung;https://twitter.com/Anggita_lung/status/1756819635205464508
Sun Feb 11 23:16:55 +0000 2024;1756819634291159475;"Niat share tentang Dirty Vote di Status WhatsApp, eh ada yg bikin status kepanasan dengan berdalih xyz 😂";0;0;0;0;in;54120867;1756819634291159475;R_Setiawan87;https://twitter.com/R_Setiawan87/status/1756819634291159475
Sun Feb 11 23:16:54 +0000 2024;1756819627815092583;"Dirty Vote hanya lah 3 orang ahli tahta negara yang sedang mempresentasikan slide di ruang kelas yg didokumentasikan dlm bentuk video/film. . Konsepnya keren.";0;1;5;8;in;1303591300290080768;1756819627815092583;CVNKJL;https://twitter.com/CVNKJL/status/1756819627815092583
Sun Feb 11 23:16:52 +0000 2024;1756819621087412303;"@erasmus70 @BivitriS @feriamsari @pusako_fhua @zainalamochtar Mempertanyakan kapasitas 3 tokoh di dirty vote,  Tapi pada lupa mempertanyakan kapasitas Gibran, itu aja udh aneh.";0;1;18;87;in;117331602;1756610775781921162;etyo0810;https://twitter.com/etyo0810/status/1756819621087412303
Sun Feb 11 23:16:49 +0000 2024;1756819609955828034;"@AmpeBaji67615 @KompasTV and also for TKN yg udah grasa grusu bikin konferensi Pers dgn background Gemoy-SamSul di masa iddaah ehhh masa tenang Pemilu ....publik jadi makin paham adanya film "Dirty Vote" deh, hayooo semua bilang "Makasiiih TKN Paslon 02" target achieved Kang @Dandhy_Laksono alhamdulillah";0;0;0;0;in;1671843731467808768;1756639785769451956;deenarnew;https://twitter.com/deenarnew/status/1756819609955828034
Sun Feb 11 23:16:49 +0000 2024;1756819607246286990;"Mau ngajak pacarku nonton dirty vote, bismillah semoga ga perang wkwkwk";0;4;0;0;in;1467276191803396096;1756819607246286990;PpeuchinsL;https://twitter.com/PpeuchinsL/status/1756819607246286990
Sun Feb 11 23:16:44 +0000 2024;1756819588279677162;"baru nonton Dirty Vote sebagian, ya Allah suram banget.   ada yang sudah coba ngirim ke pendukung si bapak garis keras penerima bansos? bisa mereka cerna ga ya?   iya tau, semua pasangan kena, cuma yang paling digidaw kan mereka.";0;0;0;1;in;159871876;1756819588279677162;riopalee;https://twitter.com/riopalee/status/1756819588279677162
Sun Feb 11 23:16:34 +0000 2024;1756819544436514977;"@ridwanhr Ternyata sudah dibanned shadow, kita cari dirty Vote aja discroll ga nemu nemu. Kepanasan juga ternyata";0;0;0;0;in;1743239830157590528;1756640303946367344;IrpanAchma71042;https://twitter.com/IrpanAchma71042/status/1756819544436514977
Sun Feb 11 23:16:34 +0000 2024;1756819543794843705;"@Fahrihamzah @partaigeloraid Udah nonton Dirty Vote gak bang?";0;0;0;0;in;1532471999096057857;1756726549230104638;mooqeedee;https://twitter.com/mooqeedee/status/1756819543794843705
Sun Feb 11 23:16:25 +0000 2024;1756819510018125867;"@KuntoAjiW mslhnya dirty vote ini ga netral mas, katanya netral. 31k surat suara kecoblos dluan ga d bhs trs ad salam 4 jarinyaa 🙏🏻";0;1;0;3;in;1509766841119387650;1756701436518531305;ghispieworld;https://twitter.com/ghispieworld/status/1756819510018125867
Sun Feb 11 23:16:25 +0000 2024;1756819506754945319;"@Bisniscom Cawapresnya sudah masa tenang.. Tapi BuzzeRp &amp  InfluenceRp Pendukungnya masih berisik bahas GBK &amp  DIRTY VOTE";0;0;1;0;in;387748122;1756818028615151682;Ombahku;https://twitter.com/Ombahku/status/1756819506754945319
Sun Feb 11 23:16:22 +0000 2024;1756819494918611013;"@tvOneNews Yang paling panik dengan adanya film Dirty Vote adalah pelaku kecurangannya";0;0;0;1;in;545942069;1756804576320401458;adamqyb;https://twitter.com/adamqyb/status/1756819494918611013
